Station ID,Station Name,Go live date,Status
3000,Virtual Station, 2015-04-23 ,Active
3004, Municipal Services Building Plaza                           , 2015-04-23 , Active   
3005," Welcome Park, NPS                                           ", 2015-04-23 , Active   
3006, 40th & Spruce                                               , 2015-04-23 , Active   
3007," 11th & Pine, Kahn Park                                      ", 2015-04-23 , Active   
3008, Temple University Station                                   , 2015-04-23 , Active   
3009, 33rd & Market                                               , 2015-04-23 , Active   
3010, 15th & Spruce                                               , 2015-04-23 , Active   
3011, 38th & Lancaster                                            , 2015-04-23 , Active   
3012, 21st & Catharine                                            , 2015-04-23 , Active   
3013, 6th & Fairmount                                             , 2015-04-23 , Active   
3014," 21st & Winter, Franklin Institute                           ", 2015-04-23 , Active   
3015," 4th & Walnut, NPS                                           ", 2015-04-23 , Active   
3016," 11th & Poplar, John F. Street Community Center              ", 2015-04-23 , Active   
3017, 6th & Berks                                                 , 2015-04-23 , Active   
3018, 12th & Filbert                                              , 2015-04-29 , Active   
3019, 6th & Race                                                  , 2015-04-29 , Active   
3020, University City Station                                     , 2015-04-23 , Active   
3021, 18th & JFK                                                  , 2015-04-23 , Active   
3022, Amtrak 30th Street Station                                  , 2015-04-23 , Active   
3023, Rittenhouse Square                                          , 2015-04-23 , Active   
3024," 43rd & Chester, Clark Park                                  ", 2015-04-23 , Active   
3025, 11th & Washington                                           , 2015-04-23 , Active   
3026, 2nd & South                                                 , 2015-04-23 , Active   
3027," 40th Street Station, MFL                                    ", 2015-04-23 , Active   
3028, 4th & Bainbridge                                            , 2015-04-23 , Active   
3029, 36th & Sansom                                               , 2015-04-23 , Active   
3030, Darien & Catharine                                          , 2015-04-23 , Active   
3031, 13th & Montgomery                                           , 2015-04-23 , Active   
3032, 23rd & South                                                , 2015-04-23 , Active   
3033, 10th & Chestnut                                             , 2015-04-23 , Active   
3034, 11th & Reed                                                 , 2015-04-23 , Active   
3035, Dornsife Center                                             , 2015-07-31 , Active   
3036, 2nd & Germantown                                            , 2015-04-23 , Active   
3037, Pennsylvania Convention Center                              , 2015-04-29 , Active   
3038, The Children's Hospital of Philadelphia (CHOP)              , 2015-04-23 , Active   
3039, Broad & Girard                                              , 2015-04-23 , Active   
3040," 17th & Spring Garden, Community College of Philadelphia     ", 2015-04-23 , Active   
3041," Girard Station, MFL                                         ", 2015-04-23 , Active   
3043," 18th & Fernon, Aquinas Center                               ", 2015-04-23 , Active   
3045, 13th & Locust                                               , 2015-04-28 , Active   
3046, 2nd & Market                                                , 2015-04-23 , Active   
3047," Independence Mall, NPS                                      ", 2015-04-23 , Active   
3048, Broad & Fitzwater                                           , 2015-04-23 , Inactive 
3049, Foglietta Plaza                                             , 2015-04-23 , Active   
3050, 9th & Arch                                                  , 2015-04-23 , Active   
3051, 23rd & Fairmount                                            , 2015-04-23 , Active   
3052, 9th & Locust                                                , 2015-04-23 , Active   
3053, Point Breeze & Tasker                                       , 2015-04-23 , Active   
3054, Rodin Museum                                                , 2015-04-23 , Active   
3055, 8th & Market                                                , 2015-04-28 , Active   
3056, Broad & Oxford                                              , 2015-04-23 , Active   
3057, Philadelphia Museum of Art                                  , 2015-04-23 , Active   
3058, 20th & Fairmount                                            , 2015-04-23 , Active   
3059," Spring Garden Station, BSL                                  ", 2015-04-23 , Active   
3060, Free Library of Philadelphia - Central Library              , 2015-04-23 , Active   
3061, 23rd & Market                                               , 2015-04-23 , Active   
3062, 24th & Sansom                                               , 2015-04-23 , Active   
3063, 17th & Pine                                                 , 2015-04-23 , Active   
3064," 18th & Washington, Chew Playground                          ", 2015-04-23 , Active   
3065, Girard & Hutchinson                                         , 2015-04-23 , Active   
3066, 19th & Lombard                                              , 2015-04-23 , Active   
3067," 39th & Mt. Vernon, Mantua Haverford Community Center        ", 2015-04-23 , Active   
3068, Broad & Federal                                             , 2015-04-23 , Active   
3069, 4th & Christian                                             , 2015-04-23 , Active   
3070," Spring Garden Station, MFL                                  ", 2015-04-29 , Active   
3071," 32nd & Baring, Drexel Park                                  ", 2015-04-23 , Active   
3072, Front & Carpenter                                           , 2015-04-23 , Active   
3073, 9th & Spring Garden                                         , 2015-04-28 , Active   
3074, 44th & Walnut                                               , 2015-04-28 , Active   
3075, Fairmount & Ridge                                           , 2015-04-28 , Active   
3077, 17th & Girard                                               , 2015-04-29 , Active   
3078, 19th & Market                                               , 2015-04-23 , Active   
3086, Broad & Christian                                           , 2015-06-10 , Active   
3088, 3rd & Girard                                                , 2015-10-20 , Active   
3093, 33rd & Diamond                                              , 2016-04-28 , Active   
3095, 29th & Diamond                                              , 2016-04-28 , Active   
3096, 29th & Dauphin                                              , 2016-04-29 , Active   
3097," Berks Station, MFL                                          ", 2016-04-29 , Active   
3098, 10th & Federal                                              , 2016-05-02 , Active   
3099, 4th & Washington                                            , 2016-05-02 , Active   
3100, Moyamensing & Tasker                                        , 2016-05-02 , Active   
3101, 11th & South                                                , 2016-05-02 , Active   
3102, 26th & Pennsylvania                                         , 2016-05-03 , Active   
3103," 27th & Master, Athletic Recreation Center                   ", 2016-05-03 , Active   
3104, 34th & Mantua                                               , 2016-05-03 , Active   
3105, Penn Treaty Park                                            , 2016-05-03 , Active   
3106, 33rd & Dauphin                                              , 2016-05-05 , Active   
3107, 33rd & Reservoir                                            , 2016-05-04 , Active   
3108, 15th & Market                                               , 2016-05-04 , Active   
3109, Parkside & Girard                                           , 2016-05-06 , Active   
3110, Del. River Trail & Penn St.                                 , 2016-05-04 , Active   
3111," Parkside & Belmont, Case Buildling                          ", 2016-05-05 , Active   
3112, 48th & Spruce                                               , 2016-05-05 , Active   
3113, Philadelphia Zoo                                            , 2016-05-06 , Active   
3114, 22nd & Federal                                              , 2016-05-05 , Active   
3115," 19th & Girard, PTTI                                         ", 2016-05-04 , Active   
3117, ParkWest Town Center                                        , 2016-04-15 , Active   
3118," 46th Street Station, MFL                                    ", 2016-04-25 , Active   
3119, 42nd & Lancaster                                            , 2016-04-25 , Active   
3120, 31st & Girard                                               , 2016-04-26 , Active   
3121, 26th & Poplar                                               , 2016-04-26 , Active   
3122," 24th & Cecil B. Moore, Cecil B. Moore Library               ", 2016-04-27 , Active   
3123, 22nd & Cecil B. Moore                                       , 2016-04-27 , Active   
3124, Race Street Pier                                            , 2016-03-31 , Active   
3125, 15th & South                                                , 2016-04-08 , Active   
3129," The Children's Hospital of Philadelphia, East Service Drive ", 2016-05-24 , Active   
